timestamp,act379,act13,act279,act323,act363,act302,latitude,longitude,FIR
5/3/2018 14:55,1,0,0,0,0,0,22.682074,75.852002,FIR153$
5/3/2018 21:40,0,0,1,0,0,0,22.671956,75.830021,FIR28$
5/3/2018 22:00,0,0,0,0,0,1,22.531931,75.769126,
5/3/2018 19:10,0,0,1,0,0,0,22.929638,75.914387,FIR193$
5/3/2018 21:00,0,0,0,1,0,0,22.539009,75.911397,FIR225$
5/3/2018 18:15,0,0,0,1,0,0,22.851444,75.542195,FIR146$
6/3/2018 11:40,0,0,0,1,0,0,22.727177,75.84129,FIR108$
6/3/2018 17:30,0,0,1,0,0,0,22.728835,75.8796,FIR132$
6/3/2018 15:20,0,0,1,0,0,0,22.725116,75.887766,FIR18$
6/3/2018 21:15,0,0,0,1,0,0,22.738098,75.887258,FIR242$
6/3/2018 20:45,0,0,0,0,1,0,22.730898,75.913329,FIR68$
6/3/2018 13:45,0,0,1,0,0,0,22.703141,75.861505,FIR211$
6/3/2018 15:30,0,0,0,1,0,0,22.701789,75.866702,FIR183$
6/3/2018 17:25,0,0,0,1,0,0,22.69968,75.864652,FIR79$
6/3/2018 18:40,0,0,1,0,0,0,22.711535,75.860105,
6/3/2018 14:30,0,0,1,0,0,0,22.711535,75.860105,FIR219$
6/3/2018 20:30,0,0,0,1,0,0,22.757062,75.882186,FIR94$
6/3/2018 1:35,0,0,0,1,0,0,22.757062,75.882186,FIR34$
6/3/2018 11:30,0,0,1,0,0,0,,,FIR97$
6/3/2018 10:10,0,0,0,1,0,0,22.714156,75.856339,FIR80$
7/3/2018 14:50,0,0,1,0,0,0,22.72675,75.881079,FIR211$
7/3/2018 20:40,1,0,0,0,0,0,22.721868,75.874134,FIR56$
7/3/2018 13:35,0,0,0,0,1,0,22.72104,75.903652,FIR140$
7/3/2018 22:55,0,0,1,0,0,0,22.729645,75.897313,FIR152$
7/3/2018 16.42,0,0,0,1,0,0,,,FIR124$
7/3/2018 17.28,0,0,0,1,0,0,22.745585,75.860658,FIR51$
7/3/2018 18:05,1,0,0,0,0,0,22.744118,75.894023,
7/3/2018 14:00,1,0,0,0,0,0,22.792347,75.907511,FIR0$
7/3/2018 16:00,0,0,1,0,0,0,22.792347,75.907511,FIR84$
7/3/2018 18:00,0,0,0,1,0,0,22.741773,75.923824,FIR56$
7/3/2018 0:35,0,0,0,1,0,0,22.741773,75.923824,FIR180$
7/3/2018 20:20,0,0,1,0,0,0,22.728835,75.8796,FIR182$
7/3/2018 13:00,0,0,0,1,0,0,22.771026,75.851612,FIR132$
7/3/2018 16:15,0,0,0,1,0,0,22.707853,75.860957,FIR9$
7/3/2018 17:00,0,0,0,1,0,0,22.707853,75.860957,FIR56$
7/3/2018 19:05,0,0,1,0,0,0,,,FIR26$
7/3/2018 12:50,1,0,0,0,0,0,22.683873,75.879972,FIR10$
7/3/2018 21:05,0,0,0,1,0,0,22.673236,75.874455,FIR80$
7/3/2018 12:20,0,0,1,0,0,0,22.714573,75.846375,
7/3/2018 20:20,1,0,0,0,0,0,22.707243,75.842508,FIR280$
7/3/2018 20:40,0,0,1,0,0,0,22.713983,75.841481,FIR70$
7/3/2018 19:55,0,0,0,0,1,0,22.70976,75.830908,FIR95$
7/3/2018 21:20,0,0,0,1,0,0,22.708832,75.828798,FIR230$
7/3/2018 3:50,0,0,0,1,0,0,22.71297,75.82358,FIR185$
7/3/2018 21:10,0,0,0,1,0,0,22.693481,75.821483,FIR223$
7/3/2018 12:10,0,0,1,0,0,0,22.531931,75.769126,FIR102$
7/3/2018 10:35,0,0,1,0,0,0,22.719569,75.857726,FIR125$
7/3/2018 23:45,0,0,1,0,0,0,22.686437,76.032055,FIR217$
28-02-2018 21:00,1,0,0,0,0,0,22.73726,75.875987,FIR182$
28-02-2018 21:15,1,0,0,0,0,0,22.720992,75.876083,FIR67$
28-02-2018 10:15,0,0,1,0,0,0,22.736676,75.883168,
28-02-2018 10:15,0,0,1,0,0,0,22.746527,75.887139,FIR129$
28-02-2018 10:30,0,0,1,0,0,0,22.769531,75.888772,FIR195$
28-02-2018 14:15,0,0,0,1,0,0,22.735218,75.913366,FIR90$
28-02-2018 08:00,0,0,0,0,1,0,22.736766,75.908579,FIR290$
28-02-2018 03:30,0,0,0,1,0,0,22.736766,75.908579,FIR260$
28-02-2018 01:30,1,0,0,0,0,0,22.722247,75.915294,FIR205$
28-02-2018 19:00,0,0,0,1,0,0,22.722247,75.915294,FIR196$
28-02-2018 14:10,0,0,0,1,0,0,22.741662,75.869137,FIR243$
28-02-2018 14:25,0,0,0,1,0,0,22.741662,75.869137,FIR251$
28-02-2018 22:00,0,1,0,0,0,0,22.746877,75.883168,FIR85$
28-02-2018 22:00,0,0,0,1,0,0,22.744534,75.931421,FIR39$
28-02-2018 22:10,0,0,0,1,0,0,22.765772,75.870461,FIR268$
28-02-2018 12:00,1,0,0,0,0,0,22.767806,75.875984,FIR249$
28-02-2018 13:30,0,0,0,0,1,0,22.71521,75.870047,FIR8$
28-02-2018 03:00,0,0,0,1,0,0,22.698342,75.910757,FIR291$
28-02-2018 23:50,0,0,0,1,0,0,22.694114,75.904223,FIR63$
28-02-2018 19:00,1,0,0,0,0,0,22.711535,75.860105,FIR64$
28-02-2018 11:55,0,0,1,0,0,0,22.715121,75.856601,
28-02-2018 11:00,0,0,0,1,0,0,22.719961,75.843657,FIR290$
28-02-2018 18:00,0,0,1,0,0,0,22.719961,75.843657,FIR307$
28-02-2018 01:00,0,0,0,1,0,0,22.727249,75.853214,FIR304$
28-02-2018 00:00,1,0,0,0,0,0,22.72692,75.85158,FIR146$
28-02-2018 22:10,0,0,1,0,0,0,22.72692,75.85158,FIR263$
28-02-2018 22:30,0,1,0,0,0,0,22.72692,75.85158,FIR52$
28-02-2018 08:40,0,0,1,0,0,0,22.723873,75.828416,FIR13$
28-02-2018 15:40,0,0,0,1,0,0,22.723873,75.828416,FIR263$
28-02-2018 15:50,0,0,0,1,0,0,22.723873,75.828416,FIR220$
28-02-2018 00:00,1,0,0,0,0,0,22.723873,75.828416,FIR234$
28-02-2018 15:00,0,0,0,1,0,0,22.670918,75.827524,FIR5$
28-02-2018 15:30,0,0,0,1,0,0,22.670918,75.827524,FIR70$
28-02-2018 19:05,0,0,0,1,0,0,22.670918,75.827524,FIR156$
28-02-2018 19:25,0,0,0,1,0,0,22.670918,75.827524,FIR211$
28-02-2018 19:50,0,0,0,1,0,0,22.670918,75.827524,
28-02-2018 19:20,0,0,0,1,0,0,22.670918,75.827524,FIR314$
28-02-2018 13:00,0,0,0,1,0,0,22.74359,75.793494,FIR212$
